developer_name,developer_nip,typ_obiektu,nazwa_inwestycji,budynek,numer_lokalu,pietro,pokoje,status_name,status_norm,area_usable_m2,price_sqm_gross_pln,price_total_gross_pln,currency,balkon_m2,ogrodek_m2,termin,snapshot_date
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",10,"I Piętro",2,rezerwacja,zarezerwowane,33.31,12200.00,406382.00,PLN,3.60,,"III KWARTAŁ 2025",2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",11,"I Piętro",2,sprzedane,sprzedane,33.41,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",12,"I Piętro",2,sprzedane,sprzedane,33.69,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",13,"I Piętro",2,sprzedane,sprzedane,33.41,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",14,"I Piętro",2,sprzedane,sprzedane,26.05,0.00,0.00,PLN,2.34,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",15,"I Piętro",2,sprzedane,sprzedane,27.69,0.00,0.00,PLN,2.34,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",16,"I Piętro",2,sprzedane,sprzedane,33.34,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",17,"I Piętro",2,sprzedane,sprzedane,33.42,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",18,"I Piętro",2,sprzedane,sprzedane,33.42,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",19,"II Piętro",3,sprzedane,sprzedane,57.46,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",2,Parter,2,sprzedane,sprzedane,33.41,0.00,0.00,PLN,3.60,66.20,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",20,"II Piętro",2,sprzedane,sprzedane,43.04,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",21,"II Piętro",2,sprzedane,sprzedane,33.31,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",22,"II Piętro",2,sprzedane,sprzedane,33.41,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",23,"II Piętro",2,sprzedane,sprzedane,33.69,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",24,"II Piętro",2,sprzedane,sprzedane,33.41,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",25,"II Piętro",2,sprzedane,sprzedane,26.05,0.00,0.00,PLN,2.34,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",26,"II Piętro",2,sprzedane,sprzedane,27.69,0.00,0.00,PLN,2.34,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",27,"II Piętro",2,sprzedane,sprzedane,33.34,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",28,"II Piętro",2,sprzedane,sprzedane,33.42,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",29,"II Piętro",2,sprzedane,sprzedane,33.42,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",3,Parter,2,sprzedane,sprzedane,26.05,0.00,0.00,PLN,2.34,183.60,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",30,"III Piętro",3,sprzedane,sprzedane,57.46,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",31,"III Piętro",2,sprzedane,sprzedane,43.04,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",32,"III Piętro",2,sprzedane,sprzedane,33.31,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",33,"III Piętro",2,sprzedane,sprzedane,33.41,0.00,0.00,PLN,3.60,,,2025-09-09
"PM Development",6762594840,mieszkanie,"Ecco Panorama","Budynek A",34,"III Piętro",2,sprzedane,sprzedane,33.69,0.00,0.00,PLN,3.60,,,2025-09-09
